	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
11889	Mycena galericulata	71905	PRJNA369992	369992	Fungi	Basidiomycetes	197.139	51.4	GCA_029289565.1		JARKIA01	787	47887.0	46864.0	2023/03/20	2023/03/20	Contig	DOE Joint Genome Institute	SAMN06295938
11890	Mycena latifolia	1033247	PRJNA538200	538200	Fungi	Basidiomycetes	148.767	52.6	GCA_029289555.1		JARJLE01	975	39762.0	37445.0	2023/03/20	2023/03/20	Contig	DOE Joint Genome Institute	SAMN11512382
11917	Mycena floridula	1033242	PRJNA443295	443295	Fungi	Basidiomycetes	118.534	46.8	GCA_029320655.1		JARIHS01	249	29840.0	29477.0	2023/03/21	2023/03/21	Contig	DOE Joint Genome Institute	SAMN08777386
11921	Mycena maculata	230809	PRJNA460317	460317	Fungi	Basidiomycetes	104.057	51.1	GCA_029448575.1		JARJLG01	480	26223.0	25809.0	2023/03/24	2023/03/24	Contig	DOE Joint Genome Institute	SAMN09070679
11925	Mycena polygramma	230801	PRJNA460316	460316	Fungi	Basidiomycetes	132.254	53.1	GCA_029449255.1		JARKID01	422	40113.0	39083.0	2023/03/28	2023/03/28	Contig	DOE Joint Genome Institute	SAMN09070832
12359	Podosphaera fusca	62727	PRJNA976089	976089	Fungi	Ascomycetes	156.824	43.2773	GCA_030378345.1	chromosome 1:CM059590.1; chromosome 2:CM059591.1; chromosome 3:CM059592.1; chromosome 4:CM059593.1; chromosome 5:CM059594.1; chromosome 6:CM059595.1; chromosome 7:CM059596.1; chromosome 8:CM059597.1; chromosome 9:CM059598.1	JASSUZ01	11			2023/06/30	2023/06/30	Chromosome	Henan Normal University	SAMN35359643
12401	Entrophospora sp. SA101	2562287	PRJNA528883	528883	Fungi	Other Fungi	130.406	26.9	GCA_958430865.1		CAUDNR01	4632	22618.0	22618.0	2023/07/15	2023/07/17	Scaffold	Uppsala University	SAMEA114006460
13076	Pleoardoris graminearum	3044270	PRJNA966141	966141	Fungi	Ascomycetes	101.793	31.7	GCA_030770415.1		JASEKS01	710			2023/08/17	2023/08/17	Scaffold	Los Alamos National Laboratory	SAMN34718685
13164	Laburnicola sp. JP_R_19	2600313	PRJNA517533	517533	Fungi	Ascomycetes	120.555	45.4	GCA_031010545.1		VOIT01	137			2023/08/30	2023/08/30	Contig	Chinese Academy of Forestry	SAMN10908933
14485	Tuber aestivum	59557	PRJEB11238	413151	Fungi	Ascomycetes	144.718	48.2	GCA_900010015.1		CZPR01	3244	9297.0	9297.0	2017/10/04	2017/10/04	Scaffold	Genoscope CEA	SAMEA3627867
14519	Colletotrichum ledebouriae	1871365	PRJNA1008866	1008866	Fungi	Ascomycetes	145.952	36.5	GCA_036785755.1		JAVHLU01	12360			2024/02/22	2024/02/22	Contig	Kagoshima University	SAMN37131995
14857	Favolaschia claudopus	2862362	PRJNA1030398	1030398	Fungi	Basidiomycetes	264.579	50.5	GCA_037176885.1		JAWWNJ01	461	50341.0	49879.0	2024/03/15	2024/03/15	Contig	DOE Joint Genome Institute	SAMN37908076
15400	Pleoardoris graminearum	3044270	PRJNA966141	966141	Fungi	Ascomycetes	105.417	31.1	GCA_035148045.1		JASMNA01	3299			2024/01/05	2024/01/05	Scaffold	Los Alamos National Laboratory	SAMN34534838
16405	Cetraspora pellucida	1433469	PRJEB45340	768188	Fungi	Other Fungi	226.81	26.6	GCA_910591925.1		CAJVPW01	79972	18058.0	18058.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911299
16554	Blumeria hordei	2867405	PRJEB23162	471138	Fungi	Ascomycetes	116.476	43.7	GCA_900237765.1		UNSH01	99	7145.0	5317.0	2018/09/14	2018/09/14	Contig	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA104357859
16637	Laccaria trichodermophora	344589	PRJNA642675	642675	Fungi	Basidiomycetes	111.902	46.5	GCA_018417965.1		JACTVD01	876			2021/05/20	2021/05/20	Scaffold	Instituto de Biologia, Universidad Nacional Autonoma de Mexico	SAMN15395803
16811	Phymatotrichopsis omnivora	231936	PRJNA641071	641071	Fungi	Ascomycetes	108.765	43.7	GCA_016880855.1		JABYPY01	25171			2021/02/12	2021/02/12	Scaffold	Noble Research Institute	SAMN15340120
17136	Mycena sanguinolenta	230812	PRJNA444098	444098	Fungi	Basidiomycetes	115.409	51.1	GCA_029203985.1		JARGYH01	198	35151.0	34869.0	2023/03/14	2023/03/14	Contig	DOE Joint Genome Institute	SAMN08776748
17273	Echinosphaeria canescens	260659	PRJNA595690	595690	Fungi	Ascomycetes	235.315	57.2	GCA_011319275.2		WXYE02	288362			2020/03/16	2024/01/29	Scaffold	Iridian Genomes	SAMN13564768
17298	Podosphaera xanthii	135283	PRJNA1036789	1036789	Fungi	Ascomycetes	162.129	43.7	GCA_037575625.1		JAWUZE01	398			2024/03/26	2024/03/26	Scaffold	Sunchon National University	SAMN38150677
17429	Massospora cicadina	348617	PRJNA451007	451007	Fungi	Other Fungi	766.563	39.3	GCA_006912075.1		QMCF01	272193			2019/07/11	2021/01/04	Scaffold	University of Michigan	SAMN08956764
17488	Tuber indicum	55307	PRJNA633038	633038	Fungi	Ascomycetes	110.495	45.5	GCA_014065215.1		JACCEH01	734	12025.0	11870.0	2020/08/05	2020/12/09	Scaffold	INRAE	SAMN14931218
17607	Jimgerdemannia flammicorona	994334	PRJNA331666	331666	Fungi	Other Fungi	231.316	42.8	GCA_003990765.1		RBNJ01	35354	13471.0	13726.0	2019/01/02	2019/01/02	Contig	DOE Joint Genome Institute	SAMN05444555
17749	Tricholoma bakamatsutake	51221	PRJNA454572	454572	Fungi	Basidiomycetes	140.676	43.2	GCA_003313665.1		QLOL01	51308			2018/07/11	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010704
17790	Rhizophagus clarus	94130	PRJDB6444	474291	Fungi	Other Fungi	116.419	27.2	GCA_003203555.1		BEXD01	4424	27753.0	27761.0	2018/06/01	2018/06/01	Scaffold	National Institute for Basic Biology	SAMD00098044
17843	Uromyces transversalis	462795	PRJNA427830	427830	Fungi	Basidiomycetes	237.275	43.3	GCA_002994575.1		PTJQ01	548017			2018/03/12	2018/03/12	Contig	University of Georgia	SAMN08274588
17885	Puccinia coronata f. sp. avenae	200324	PRJNA398546	398546	Fungi	Basidiomycetes	166.28	44.7	GCA_002873275.1		PGCJ01	1727	28801.0	28270.0	2018/01/08	2018/01/08	Contig	University of Minnesota	SAMN07514589
18615	Austropuccinia psidii	181123	PRJNA810572	810572	Fungi	Basidiomycetes	1050.67	33.9	GCA_023105775.1		JALGRA01	98			2022/04/25	2022/06/17	Scaffold	University of Sydney	SAMN26267418
18687	Glomus cerebriforme	658196	PRJNA477348	477348	Fungi	Other Fungi	170.931		GCA_003833025.1		QZLG01	14624			2018/11/26	2018/11/26	Scaffold	University of Ottawa	SAMN09466974
18720	Rhizophagus irregularis	588596	PRJNA748024	748024	Fungi	Other Fungi	147.209	27.8232	GCA_020716725.1	chromosome 1:CP080788.1; chromosome 2:CP080789.1; chromosome 3:CP080790.1; chromosome 4:CP080791.1; chromosome 5:CP080792.1; chromosome 6:CP080793.1; chromosome 7:CP080794.1; chromosome 8:CP080795.1; chromosome 9:CP080796.1; chromosome 10:CP080797.1; chromosome 11:CP080798.1; chromosome 12:CP080799.1; chromosome 13:CP080800.1; chromosome 14:CP080801.1; chromosome 15:CP080802.1; chromosome 16:CP080803.1; chromosome 17:CP080804.1; chromosome 18:CP080805.1; chromosome 19:CP080806.1; chromosome 20:CP080807.1; chromosome 21:CP080808.1; chromosome 22:CP080809.1; chromosome 23:CP080810.1; chromosome 24:CP080811.1; chromosome 25:CP080812.1; chromosome 26:CP080813.1; chromosome 27:CP080814.1; chromosome 28:CP080815.1; chromosome 29:CP080816.1; chromosome 30:CP080817.1; chromosome 31:CP080818.1; chromosome 32:CP080819.1; chromosome 33:CP080820.1		33			2021/11/02	2021/12/02	Chromosome	University of Ottawa	SAMN20669910
18782	Tricholoma matsutake	40145	PRJNA831907	831907	Fungi	Basidiomycetes	162.633	45.5	GCA_026213095.1		JALPZM01	80			2022/11/16	2022/11/16	Contig	National Institue of Forest Science	SAMN27770844
18800	Basidiobolus meristosporus B9252	1357683	PRJNA211908	211908	Fungi	Other Fungi	103.859	41.9	GCA_000697375.1		JNEO01	20930			2014/06/02	2014/06/02	Contig	IGS	SAMN02371520
18850	Hemileia vastatrix	203904	PRJNA419278	419278	Fungi	Basidiomycetes	543.605	33.4	GCA_004125335.1		PHNK01	116756			2019/01/31	2019/05/29	Scaffold	Universidade Federal de Lavras (UFLA)	SAMN08048888
18905	Leucoagaricus gongylophorus Ac12	1258663	PRJNA179280	179280	Fungi	Basidiomycetes	100.245	35.1	GCA_000382605.1		ANIS01	83777			2013/04/25	2014/08/11	Scaffold	UW-Madison	SAMN02981481
18926	Diaporthe longicolla MSPL 10-6	1230121	PRJNA174445	174445	Fungi	Ascomycetes	129.014	48.5	GCA_000498855.2		AYRD02	12437			2013/11/25	2014/09/30	Scaffold	Purdue University	SAMN01162173
19105	Gigaspora rosea	44941	PRJEB45340	768188	Fungi	Other Fungi	240.311	28.7	GCA_910592045.1		CAJVPX01	90143	26343.0	26343.0	2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911295
19196	Gigaspora margarita	4874	PRJEB45340	768188	Fungi	Other Fungi	574.57	27.4	GCA_910592245.1		CAJVQB01	173647			2021/10/19	2021/10/19	Contig	UPPSALA UNIVERISTY	SAMEA8911294
19300	Ophiocordyceps sinensis	72228	PRJNA386225	386225	Fungi	Ascomycetes	118.699	44.8	GCA_020137565.1		NGJJ01	1631			2021/09/24	2021/09/24	Contig	Beijing Institute of Radiation Medicine	SAMN06928226
19823	Blumeria graminis f. sp. tritici	62690	PRJEB28180	517853	Fungi	Ascomycetes	140.803	43.7484	GCA_900519115.1	chromosome Bgt_-Un:LR026995.1; chromosome Bgt_-01:LR026984.1; chromosome Bgt_-02:LR026985.1; chromosome Bgt_-03:LR026986.1; chromosome Bgt_-04:LR026987.1; chromosome Bgt_-05:LR026988.1; chromosome Bgt_-06:LR026989.1; chromosome Bgt_-07:LR026990.1; chromosome Bgt_-08:LR026991.1; chromosome Bgt_-09:LR026992.1; chromosome Bgt_-10:LR026993.1; chromosome Bgt_-11:LR026994.1		12	8470.0	8347.0	2019/01/30	2019/01/30	Chromosome	UNIVERSITY OF ZURICH	SAMEA4826857
19921	Puccinia graminis f. sp. tritici	56615	PRJNA313186	313186	Fungi	Basidiomycetes	180.452	43.6751	GCA_002762355.2	chromosome 1E:CM040508.1; chromosome 1F:CM040509.1; chromosome 2E:CM040510.1; chromosome 2F:CM040511.1; chromosome 3E:CM040512.1; chromosome 3F:CM040513.1; chromosome 4E:CM040514.1; chromosome 4F:CM040515.1; chromosome 5E:CM040516.1; chromosome 5F:CM040517.1; chromosome 6E:CM040518.1; chromosome 6F:CM040519.1; chromosome 7E:CM040520.1; chromosome 7F:CM040521.1; chromosome 8E:CM040522.1; chromosome 8F:CM040523.1; chromosome 9E:CM040524.1; chromosome 9F:CM040525.1; chromosome 10E:CM040526.1; chromosome 10F:CM040527.1; chromosome 11E:CM040528.1; chromosome 11F:CM040529.1; chromosome 12E:CM040530.1; chromosome 12F:CM040531.1; chromosome 13E:CM040532.1; chromosome 13F:CM040533.1; chromosome 14E:CM040534.1; chromosome 14F:CM040535.1; chromosome 15E:CM040536.1; chromosome 15F:CM040537.1; chromosome 16E:CM040538.1; chromosome 16F:CM040539.1; chromosome 17E:CM040540.1; chromosome 17F:CM040541.1; chromosome 18E:CM040542.1; chromosome 18F:CM040543.1	PGFY02	1009			2017/11/09	2022/03/30	Chromosome	Kansas State University	SAMN04516555
19928	Phakopsora pachyrhizi	170000	PRJEB46918	770237	Fungi	Basidiomycetes	1082.91	37.3	GCA_943846425.1		CALTRL01	6505	19952.0	18162.0	2022/06/11	2022/06/27	Scaffold	SYNGENTA / RWTH Aachen University	SAMEA9533646
20211	Phakopsora pachyrhizi	170000	PRJNA368291	368291	Fungi	Basidiomycetes	1057.43	37.3	GCA_025201825.1		JAMKEP01	7464	21343.0	19617.0	2022/09/09	2022/09/09	Scaffold	DOE Joint Genome Institute	SAMN06266924
20220	Puccinia graminis f. sp. tritici	56615	PRJNA516922	516922	Fungi	Basidiomycetes	176.85	43.5	GCA_008522505.1		VSWC01	208	37135.0	37843.0	2019/09/11	2019/09/11	Scaffold	University of Minnesota	SAMN11533737
20298	Blumeria graminis f. sp. tritici	62690	PRJEB41382	855747	Fungi	Ascomycetes	141.189	43.7	GCA_927323605.2		CAKMHR02	32			2022/07/07	2022/07/09	Contig	UNIVERSITY OF ZURICH	SAMEA7746377
20312	Puccinia triticina	208348	PRJNA902835	902835	Fungi	Basidiomycetes	252.993	1.23585	GCA_029633885.1	chromosome 1B:CM056264.1; chromosome 1C:CM056265.1; chromosome 2B:CM056266.1; chromosome 2C:CM056267.1; chromosome 3B:CM056268.1; chromosome 3C:CM056269.1; chromosome 4B:CM056270.1; chromosome 4C:CM056271.1; chromosome 5B:CM056272.1; chromosome 5C:CM056273.1; chromosome 6B:CM056274.1; chromosome 6C:CM056275.1; chromosome 7B:CM056276.1; chromosome 7C:CM056277.1; chromosome 8B:CM056278.1; chromosome 8C:CM056279.1; chromosome 9B:CM056280.1; chromosome 9C:CM056281.1; chromosome 10B:CM056282.1; chromosome 10C:CM056283.1; chromosome 11B:CM056284.1; chromosome 11C:CM056285.1; chromosome 12B:CM056286.1; chromosome 12C:CM056287.1; chromosome 13B:CM056288.1; chromosome 13C:CM056289.1; chromosome 14B:CM056290.1; chromosome 14C:CM056291.1; chromosome 15B:CM056292.1; chromosome 15C:CM056293.1; chromosome 16B:CM056294.1; chromosome 16C:CM056295.1; chromosome 17B:CM056296.1; chromosome 17C:CM056297.1; chromosome 18B:CM056298.1; chromosome 18C:CM056299.1	JAPPVU01	159			2023/04/07	2023/04/07	Chromosome	CSIRO	SAMN31776670
20626	Ophiocordyceps sinensis	72228	PRJNA292632	292632	Fungi	Ascomycetes	112.137	44.7	GCA_002077885.1		LKHE01	3687			2017/04/03	2017/04/03	Scaffold	Institute of Microbiology, Chinese Academy of Sciences	SAMN04009789
20885	Hemileia vastatrix	203904	PRJNA1046137	1046137	Fungi	Basidiomycetes	736.183	43.2	GCA_036250445.1		JAYKUG01	1416087			2024/01/29	2024/01/29	Contig	University of Hawaii at Manoa	SAMN38476457
20926	Tricholoma matsutake	40145	PRJNA427248	427248	Fungi	Basidiomycetes	189.03	34.4	GCA_002939025.2		PKSN02	5255			2018/02/23	2018/08/23	Scaffold	Korea University	SAMN08225760
20959	Rhizophagus irregularis	588596	PRJNA748024	748024	Fungi	Other Fungi	161.924	28.2413	GCA_020716745.1	chromosome 1:CP080890.1; chromosome 2:CP080902.1; chromosome 3:CP080887.1; chromosome 4:CP080888.1; chromosome 5:CP080889.1; chromosome 6:CP080898.1; chromosome 7:CP080895.1; chromosome 8:CP080892.1; chromosome 9:CP080896.1; chromosome 10:CP080893.1; chromosome 11:CP080897.1; chromosome 12:CP080891.1; chromosome 13:CP080894.1; chromosome 14:CP080901.1; chromosome 15:CP080899.1; chromosome 16:CP080900.1; chromosome 17:CP080905.1; chromosome 18:CP080904.1; chromosome 19:CP080903.1; chromosome 20:CP080913.1; chromosome 21:CP080912.1; chromosome 22:CP080907.1; chromosome 23:CP080915.1; chromosome 24:CP080914.1; chromosome 25:CP080909.1; chromosome 26:CP080917.1; chromosome 27:CP080906.1; chromosome 28:CP080908.1; chromosome 29:CP080911.1; chromosome 30:CP080919.1; chromosome 31:CP080916.1; chromosome 32:CP080910.1; chromosome 33:CP080918.1		33			2021/11/02	2021/12/07	Chromosome	University of Ottawa	SAMN20669907
21015	Austropuccinia psidii	181123	PRJEB34084	592107	Fungi	Basidiomycetes	1018.4	33.8	GCA_902702905.1		CACRXL01	66			2019/11/28	2019/11/28	Scaffold	UNIVERSITY OF SYDNEY	SAMEA6153110
21426	Uromyces transversalis	462795	PRJNA427830	427830	Fungi	Basidiomycetes	265.771	39.8	GCA_002994595.1		PTJP01	645533			2018/03/12	2018/03/12	Contig	University of Georgia	SAMN08274589
21638	Podosphaera xanthii	135283	PRJNA646981	646981	Fungi	Ascomycetes	142.114	43.2	GCA_014884795.1		JACSEY01	1727			2020/10/13	2020/10/13	Contig	University of Malaga	SAMN15572317
21759	Phymatotrichopsis omnivora	231936	PRJNA641071	641071	Fungi	Ascomycetes	107.102	43.8	GCA_016880785.1		JABYPX01	25419			2021/02/12	2021/02/12	Scaffold	Noble Research Institute	SAMN15340119
21826	Blumeria hordei K1	1283759	PRJNA639160	639160	Fungi	Ascomycetes	117.367	43.6	GCA_023065745.1		JAJOCF01	1440			2022/04/20	2022/04/20	Contig	RWTH Aachen University	SAMN15226359
22009	Entrophospora sp. SA101	2562287	PRJNA528883	528883	Fungi	Other Fungi	124.961	28.1	GCA_958305055.1		CATXGL01	21934	24930.0	24930.0	2023/07/15	2023/07/17	Contig	Uppsala University	SAMEA114006459
22154	Blumeria hordei K1	1283759	PRJEB30373	523554	Fungi	Ascomycetes	126.559	43.7	GCA_900638725.1		CAAAHF01	2238			2019/02/20	2019/02/20	Contig	RWTH Aachen University	SAMEA5188166
22190	Phymatotrichopsis omnivora	231936	PRJNA641071	641071	Fungi	Ascomycetes	107.761	44.0	GCA_016880835.1		JABYPZ01	26805			2021/02/12	2021/02/12	Scaffold	Noble Research Institute	SAMN15340121
22240	Podosphaera xanthii	135283	PRJNA590048	590048	Fungi	Ascomycetes	209.068	44.3	GCA_010015925.1		JAAAXZ01	1112			2020/01/30	2020/01/30	Contig	National Academy of Agricultural Science, Rural Development Adminstration	SAMN13316583
22480	Verticillium longisporum	100787	PRJEB9355	285311	Fungi	Ascomycetes	100.52	52.2	GCA_001268165.1		CVQI01	38382	21072.0	21072.0	2015/05/28	2015/08/06	Scaffold	Swedish University of Agricultural Sciences	SAMEA3436396
22574	Austropuccinia psidii	181123	PRJNA480390	480390	Fungi	Basidiomycetes	1204.13	30.1	GCA_003724095.1		QOUH01	147937			2018/11/13	2018/11/13	Scaffold	University of Pretoria	SAMN09635590
22609	Rhizophagus irregularis	588596	PRJNA748024	748024	Fungi	Other Fungi	146.855	27.8139	GCA_020716705.1	chromosome 1:CP080825.1; chromosome 2:CP080827.1; chromosome 3:CP080822.1; chromosome 4:CP080823.1; chromosome 5:CP080826.1; chromosome 6:CP080824.1; chromosome 7:CP080833.1; chromosome 8:CP080821.1; chromosome 9:CP080831.1; chromosome 10:CP080828.1; chromosome 11:CP080834.1; chromosome 12:CP080835.1; chromosome 13:CP080830.1; chromosome 14:CP080829.1; chromosome 15:CP080837.1; chromosome 16:CP080836.1; chromosome 17:CP080832.1; chromosome 18:CP080838.1; chromosome 19:CP080839.1; chromosome 20:CP080841.1; chromosome 21:CP080840.1; chromosome 22:CP080845.1; chromosome 23:CP080850.1; chromosome 24:CP080842.1; chromosome 25:CP080846.1; chromosome 26:CP080844.1; chromosome 27:CP080849.1; chromosome 28:CP080847.1; chromosome 29:CP080843.1; chromosome 30:CP080852.1; chromosome 31:CP080848.1; chromosome 32:CP080851.1; chromosome 33:CP080853.1		33			2021/11/02	2021/12/02	Chromosome	University of Ottawa	SAMN20669909
22630	Tricholoma matsutake	40145	PRJNA454572	454572	Fungi	Basidiomycetes	155.037	44.5	GCA_003314635.1		QMFF01	58276			2018/07/11	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010706
22657	Hemileia vastatrix HvCat	1291517	PRJNA235221	235221	Fungi	Basidiomycetes	201.428	32.2	GCA_003057935.1		PZQQ01	71909			2018/04/19	2018/04/19	Scaffold	National center for Coffee Research	SAMN01919679
22830	Ophiocordyceps sinensis	72228	PRJNA315178	315178	Fungi	Ascomycetes	101.069	43.1	GCA_001648815.1		LWBQ01	618			2016/05/20	2016/05/20	Scaffold	Zhejiang University of Technology	SAMN04550853
23016	Puccinia triticina	208348	PRJNA902835	902835	Fungi	Basidiomycetes	248.097	0.534106	GCA_029634005.1	chromosome 1C:CM056300.1; chromosome 1D:CM056301.1; chromosome 2C:CM056302.1; chromosome 2D:CM056303.1; chromosome 3C:CM056304.1; chromosome 3D:CM056305.1; chromosome 4C:CM056306.1; chromosome 4D:CM056307.1; chromosome 5C:CM056308.1; chromosome 5D:CM056309.1; chromosome 6C:CM056310.1; chromosome 6D:CM056311.1; chromosome 7C:CM056312.1; chromosome 7D:CM056313.1; chromosome 8C:CM056314.1; chromosome 8D:CM056315.1; chromosome 9C:CM056316.1; chromosome 9D:CM056317.1; chromosome 10C:CM056318.1; chromosome 10D:CM056319.1; chromosome 11C:CM056320.1; chromosome 11D:CM056321.1; chromosome 12C:CM056322.1; chromosome 12D:CM056323.1; chromosome 13C:CM056324.1; chromosome 13D:CM056325.1; chromosome 14C:CM056326.1; chromosome 14D:CM056327.1; chromosome 15C:CM056328.1; chromosome 15D:CM056329.1; chromosome 16C:CM056330.1; chromosome 16D:CM056331.1; chromosome 17C:CM056332.1; chromosome 17D:CM056333.1; chromosome 18C:CM056334.1; chromosome 18D:CM056335.1	JAPPVV01	115			2023/04/07	2023/04/07	Chromosome	CSIRO	SAMN31776678
23029	Blumeria graminis f. sp. tritici	62690	PRJNA825650	825650	Fungi	Ascomycetes	138.411	43.7	GCA_024363405.1		JALMLO01	414			2022/07/21	2022/07/21	Scaffold	IARI	SAMN27592398
23093	Puccinia graminis f. sp. tritici	56615	PRJNA516922	516922	Fungi	Basidiomycetes	176.235	43.5	GCA_008520325.1		VDEP01	537	37442.0	37820.0	2019/09/11	2019/09/11	Contig	University of Minnesota	SAMN11533736
23333	Puccinia graminis f. sp. tritici	56615	PRJEB38623	637280	Fungi	Basidiomycetes	164.293	43.4	GCA_903797515.1		CAIGJM01	4902			2020/06/11	2020/06/11	Contig	CRANFIELD UNIVERSITY	SAMEA6870969
23383	Blumeria graminis f. sp. tritici 96224	1268274	PRJNA183607	183607	Fungi	Ascomycetes	158.945	46.3	GCA_000418435.1		ANZE01	1867	6538.0	6525.0	2013/07/08	2014/08/11	Scaffold	University of Zurich	SAMN02981491
23395	Puccinia triticina	208348	PRJNA725323	725323	Fungi	Basidiomycetes	253.539	46.56	GCA_019358815.1	chromosome 1A:CM033283.1; chromosome 1B:CM033284.1; chromosome 2A:CM033285.1; chromosome 2B:CM033286.1; chromosome 3A:CM033287.1; chromosome 3B:CM033288.1; chromosome 4A:CM033289.1; chromosome 4B:CM033290.1; chromosome 5A:CM033291.1; chromosome 5B:CM033292.1; chromosome 6A:CM033293.1; chromosome 6B:CM033294.1; chromosome 7A:CM033295.1; chromosome 7B:CM033296.1; chromosome 8A:CM033297.1; chromosome 8B:CM033298.1; chromosome 9A:CM033299.1; chromosome 9B:CM033300.1; chromosome 10A:CM033301.1; chromosome 10B:CM033302.1; chromosome 11A:CM033303.1; chromosome 11B:CM033304.1; chromosome 12A:CM033305.1; chromosome 12B:CM033306.1; chromosome 13A:CM033307.1; chromosome 13B:CM033308.1; chromosome 14A:CM033309.1; chromosome 14B:CM033310.1; chromosome 15A:CM033311.1; chromosome 15B:CM033312.1; chromosome 16A:CM033313.1; chromosome 16B:CM033314.1; chromosome 17A:CM033315.1; chromosome 17B:CM033316.1; chromosome 18A:CM033317.1; chromosome 18B:CM033318.1	JAHHPK01	283			2021/07/27	2021/07/27	Chromosome	Australian National University	SAMN18876192
23660	Tricholoma matsutake	40145	PRJDB4778	319786	Fungi	Basidiomycetes	131.719	45.3	GCA_001652835.1		BDDP01	88884			2016/05/03	2016/05/03	Scaffold	Labolatoly of food microbiology and engineering, Applied Life Chemistry, Faculty of Agriculture , Kindai University	SAMD00051290
23675	Rhizophagus irregularis	588596	PRJNA748024	748024	Fungi	Other Fungi	147.088	27.7905	GCA_020716765.1	chromosome 1:CP080921.1; chromosome 2:CP080925.1; chromosome 3:CP080920.1; chromosome 4:CP080923.1; chromosome 5:CP080922.1; chromosome 6:CP080924.1; chromosome 7:CP080933.1; chromosome 8:CP080927.1; chromosome 9:CP080929.1; chromosome 10:CP080926.1; chromosome 11:CP080928.1; chromosome 12:CP080930.1; chromosome 13:CP080931.1; chromosome 14:CP080932.1; chromosome 15:CP080937.1; chromosome 16:CP080936.1; chromosome 17:CP080934.1; chromosome 18:CP080935.1; chromosome 19:CP080938.1; chromosome 20:CP080946.1; chromosome 21:CP080940.1; chromosome 22:CP080941.1; chromosome 23:CP080950.1; chromosome 24:CP080939.1; chromosome 25:CP080944.1; chromosome 26:CP080947.1; chromosome 27:CP080943.1; chromosome 28:CP080942.1; chromosome 29:CP080945.1; chromosome 30:CP080951.1; chromosome 31:CP080948.1; chromosome 32:CP080949.1; chromosome 33:CP080952.1		33			2021/11/02	2021/12/07	Chromosome	University of Ottawa	SAMN20669906
23695	Austropuccinia psidii MF-1	1389203	PRJNA215767	215767	Fungi	Basidiomycetes	648.992	33.6	GCA_000469055.2		AVOT02	159332			2013/09/19	2021/07/19	Scaffold	USP	SAMN02981557
23968	Blumeria hordei DH14	546991	PRJNA28821	28821	Fungi	Ascomycetes	118.726	45.4	GCA_000151065.3		CAUH01	6843	7083.0	6495.0	2013/04/18	2015/01/30	Scaffold	Blumeria Genome Sequencing Consortium	SAMEA3138301
24274	Austropuccinia psidii	181123	PRJNA295407	295407	Fungi	Basidiomycetes	129.776	31.2	GCA_001443065.1		LKHF01	57309			2015/11/12	2015/11/13	Scaffold	University of Sydney	SAMN04053797
24287	Rhizophagus irregularis	588596	PRJNA748024	748024	Fungi	Other Fungi	146.83	27.8056	GCA_020716685.1	chromosome 1:CP080855.1; chromosome 2:CP080859.1; chromosome 3:CP080854.1; chromosome 4:CP080856.1; chromosome 5:CP080858.1; chromosome 6:CP080857.1; chromosome 7:CP080867.1; chromosome 8:CP080860.1; chromosome 9:CP080862.1; chromosome 10:CP080863.1; chromosome 11:CP080861.1; chromosome 12:CP080864.1; chromosome 13:CP080865.1; chromosome 14:CP080868.1; chromosome 15:CP080871.1; chromosome 16:CP080870.1; chromosome 17:CP080866.1; chromosome 18:CP080869.1; chromosome 19:CP080872.1; chromosome 20:CP080876.1; chromosome 21:CP080874.1; chromosome 22:CP080873.1; chromosome 23:CP080883.1; chromosome 24:CP080875.1; chromosome 25:CP080878.1; chromosome 26:CP080882.1; chromosome 27:CP080880.1; chromosome 28:CP080877.1; chromosome 29:CP080879.1; chromosome 30:CP080885.1; chromosome 31:CP080884.1; chromosome 32:CP080881.1; chromosome 33:CP080886.1		33			2021/11/02	2021/12/07	Chromosome	University of Ottawa	SAMN20669908
24297	Tricholoma matsutake 945	1095628	PRJNA200596	200596	Fungi	Basidiomycetes	175.758	45.8	GCA_014904895.1		WIUY01	2545	23168.0	22781.0	2020/10/20	2020/10/26	Scaffold	DOE Joint Genome Institute	SAMN02584713
24489	Puccinia triticina	208348	PRJNA607157	607157	Fungi	Basidiomycetes	140.527	46.6	GCA_013090125.1		JABFDL01	162			2020/05/15	2020/05/15	Contig	University of Sydney	SAMN14178257
24777	Puccinia triticina 1-1 BBBD Race 1	630390	PRJNA36323	36323	Fungi	Basidiomycetes	135.344	36.8	GCA_000151525.2		ADAS02	14818	15668.0	15685.0	2009/11/18	2016/06/06	Scaffold	Broad Institute	SAMN02981248
24943	Rhizophagus irregularis	588596	PRJEB33553	737667	Fungi	Other Fungi	159.798	28.0	GCA_903189765.1		CAEVNM01	123	27251.0	28371.0	2021/06/18	2021/06/25	Scaffold	University of Lausanne	SAMEA5841284
