	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Proteins/Genes
1081	Cervus elaphus	9860	PRJEB45838	739963	Animals	Mammals	2886.6	42.976	GCA_910594005.1	chromosome 1:NC_057815.1/OU343078.1; chromosome 2:NC_057816.1/OU343079.1; chromosome 3:NC_057817.1/OU343080.1; chromosome 4:NC_057818.1/OU343081.1; chromosome 5:NC_057819.1/OU343082.1; chromosome 6:NC_057820.1/OU343083.1; chromosome 7:NC_057821.1/OU343084.1; chromosome 8:NC_057822.1/OU343085.1; chromosome 9:NC_057823.1/OU343086.1; chromosome 10:NC_057824.1/OU343087.1; chromosome 11:NC_057825.1/OU343088.1; chromosome 12:NC_057826.1/OU343089.1; chromosome 13:NC_057827.1/OU343090.1; chromosome 14:NC_057828.1/OU343091.1; chromosome 15:NC_057829.1/OU343092.1; chromosome 16:NC_057830.1/OU343093.1; chromosome 17:NC_057831.1/OU343094.1; chromosome 18:NC_057832.1/OU343095.1; chromosome 19:NC_057833.1/OU343096.1; chromosome 20:NC_057834.1/OU343097.1; chromosome 21:NC_057835.1/OU343098.1; chromosome 22:NC_057836.1/OU343099.1; chromosome 23:NC_057837.1/OU343100.1; chromosome 24:NC_057838.1/OU343101.1; chromosome 25:NC_057839.1/OU343102.1; chromosome 26:NC_057840.1/OU343103.1; chromosome 27:NC_057841.1/OU343104.1; chromosome 28:NC_057842.1/OU343105.1; chromosome 29:NC_057843.1/OU343106.1; chromosome 30:NC_057844.1/OU343107.1; chromosome 31:NC_057845.1/OU343108.1; chromosome 32:NC_057846.1/OU343109.1; chromosome 33:NC_057847.1/OU343110.1; chromosome X:NC_057848.1/OU343077.1; mitochondrion MT:OU343111.1	CAJVBL01	144	37348.0	57591.0	2021/07/06	2021/07/06	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7523520	1.5420102816750563
1082	Micropterus salmoides	27706	PRJNA687018	687018	Animals	Fishes	963.614	40.9001	GCA_014851395.1	mitochondrion MT:NC_008106.1/	JACBYK01	4753	37622.0	47899.0	2020/10/05	2020/10/05	Scaffold	NCBI	SAMN15299117	1.273164637711977
1085	Panthera tigris	9694	PRJNA751894	751894	Animals	Mammals	2408.7	41.6518	GCA_018350195.2	chromosome A1:NC_056660.1/CM031431.1; chromosome A2:NC_056661.1/CM031432.1; chromosome A3:NC_056662.1/CM031433.1; chromosome B1:NC_056663.1/CM031434.1; chromosome B2:NC_056664.1/CM031435.1; chromosome B3:NC_056665.1/CM031436.1; chromosome B4:NC_056666.1/CM031437.1; chromosome C1:NC_056667.1/CM031438.1; chromosome C2:NC_056668.1/CM031439.1; chromosome D1:NC_056669.1/CM031440.1; chromosome D2:NC_056670.1/CM031441.1; chromosome D3:NC_056671.1/CM031442.1; chromosome D4:NC_056672.1/CM031443.1; chromosome E1:NC_056673.1/CM031444.1; chromosome E2:NC_056674.1/CM031445.1; chromosome E3:NC_056675.1/CM031446.1; chromosome F2:NC_056676.1/CM031447.1; chromosome F3:NC_056678.1/CM031448.1; chromosome X:NC_056677.1/CM031430.1; mitochondrion MT:NC_010642.1/	JAEQMW01	75	33598.0	55717.0	2021/05/13	2021/07/16	Chromosome	NCBI	SAMN17054330	1.6583427584975297
1094	Cyprinus carpio	7962	PRJNA745992	745992	Animals	Fishes	1680.13	37.1688	GCA_018340385.1	chromosome A1:CM031245.1; chromosome A2:CM031256.1; chromosome A3:NC_056574.1/CM031263.1; chromosome A4:NC_056575.1/CM031264.1; chromosome A5:NC_056576.1/CM031265.1; chromosome A6:NC_056577.1/CM031266.1; chromosome A7:NC_056578.1/CM031267.1; chromosome A8:NC_056579.1/CM031268.1; chromosome A9:NC_056580.1/CM031269.1; chromosome A10:NC_056581.1/CM031246.1; chromosome A11:NC_056582.1/CM031247.1; chromosome A12:NC_056583.1/CM031248.1; chromosome A13:NC_056584.1/CM031249.1; chromosome A14:NC_056585.1/CM031250.1; chromosome A15:NC_056586.1/CM031251.1; chromosome A16:NC_056587.1/CM031252.1; chromosome A17:NC_056588.1/CM031253.1; chromosome A18:NC_056589.1/CM031254.1; chromosome A19:NC_056590.1/CM031255.1; chromosome A20:NC_056591.1/CM031257.1; chromosome A21:NC_056592.1/CM031258.1; chromosome A22:NC_056593.1/CM031259.1; chromosome A23:NC_056594.1/CM031260.1; chromosome A24:NC_056595.1/CM031261.1; chromosome A25:NC_056596.1/CM031262.1; chromosome B1:NC_056597.1/CM031270.1; chromosome B2:NC_056598.1/CM031281.1; chromosome B3:NC_056599.1/CM031288.1; chromosome B4:NC_056600.1/CM031289.1; chromosome B5:NC_056601.1/CM031290.1; chromosome B6:NC_056602.1/CM031291.1; chromosome B7:NC_056603.1/CM031292.1; chromosome B8:NC_056604.1/CM031293.1; chromosome B9:NC_056605.1/CM031294.1; chromosome B10:NC_056606.1/CM031271.1; chromosome B11:NC_056607.1/CM031272.1; chromosome B12:NC_056608.1/CM031273.1; chromosome B13:NC_056609.1/CM031274.1; chromosome B14:NC_056610.1/CM031275.1; chromosome B15:NC_056611.1/CM031276.1; chromosome B16:NC_056612.1/CM031277.1; chromosome B17:NC_056613.1/CM031278.1; chromosome B18:NC_056614.1/CM031279.1; chromosome B19:NC_056615.1/CM031280.1; chromosome B20:NC_056616.1/CM031282.1; chromosome B21:NC_056617.1/CM031283.1; chromosome B22:NC_056618.1/CM031284.1; chromosome B23:NC_056619.1/CM031285.1; chromosome B24:NC_056620.1/CM031286.1; chromosome B25:NC_056621.1/CM031287.1; mitochondrion MT:NC_001606.1/	JAEOAB01	6701	57038.0	76977.0	2021/05/11	2021/05/12	Chromosome	NCBI	SAMN17005855	1.3495739682317052
1095	Paralichthys olivaceus	8255	PRJNA369269	369269	Animals	Fishes	643.911	43.2001	GCA_001970005.2	mitochondrion MT:NC_002386.1/	MPLB01	9525	24856.0	36123.0	2017/01/24	2017/01/24	Scaffold	NCBI	SAMN05817825	1.4532909559060188
1096	Anguilla anguilla	7936	PRJNA643263	643263	Animals	Fishes	979.046	43.6575	GCA_013347855.1	chromosome 1:NC_049201.1/CM023565.1; chromosome 2:NC_049202.1/CM023566.1; chromosome 3:NC_049203.1/CM023567.1; chromosome 4:NC_049204.1/CM023568.1; chromosome 5:NC_049205.1/CM023569.1; chromosome 6:NC_049206.1/CM023570.1; chromosome 7:NC_049207.1/CM023571.1; chromosome 8:NC_049208.1/CM023572.1; chromosome 9:NC_049209.1/CM023573.1; chromosome 10:NC_049210.1/CM023574.1; chromosome 11:NC_049211.1/CM023575.1; chromosome 12:NC_049212.1/CM023576.1; chromosome 13:NC_049213.1/CM023577.1; chromosome 14:NC_049214.1/CM023578.1; chromosome 15:NC_049215.1/CM023579.1; chromosome 16:NC_049216.1/CM023580.1; chromosome 17:NC_049217.1/CM023581.1; chromosome 18:NC_049218.1/CM023582.1; chromosome 19:NC_049219.1/CM023583.1; mitochondrion MT:NC_006531.1/	JABVMG01	54	31475.0	58091.0	2020/06/12	2020/06/18	Chromosome	NCBI	SAMN12623627	1.8456235107227958
1102	Microtus ochrogaster	79684	PRJNA72443	72443	Animals	Mammals	2287.34	42.8312	GCA_000317375.1	chromosome 1:NC_022009.1/CM001672.1; chromosome 2:NC_022010.1/CM001673.1; chromosome 4:NC_022011.1/CM001674.1; chromosome 5:NC_022012.1/CM001675.1; chromosome 6:NC_022013.1/CM001676.1; chromosome 7:NC_022014.1/CM001677.1; chromosome 8:NC_022015.1/CM001678.1; chromosome 10:NC_022016.1/CM001679.1; chromosome 15:NC_022017.1/CM001680.1; chromosome 16:NC_022018.1/CM001681.1; chromosome 17:NC_022019.1/CM001682.1; chromosome 18:NC_022020.1/CM001683.1; chromosome 19:NC_022021.1/CM001684.1; chromosome 21:NC_022022.1/CM001685.1; chromosome 22:NC_022023.1/CM001686.1; chromosome 24:NC_022024.1/CM001687.1; chromosome 26:NC_022025.1/CM001688.1; chromosome X:NC_022026.1/CM001689.1; linkage group LG1:NC_022027.1/CM001690.1; linkage group LG2:NC_022028.1/CM001691.1; linkage group LG3:NC_022029.1/CM001692.1; linkage group LG4:NC_022030.1/CM001693.1; linkage group LG5:NC_022031.1/CM001694.1; linkage group LG7_11:NC_022032.1/CM001695.1; linkage group LG8:NC_022033.1/CM001696.1; linkage group LG9:NC_022034.1/CM001697.1; linkage group LG10:NC_022035.1/CM001698.1; linkage group LG12:NC_022036.1/CM001699.1	AHZW01	6450	26397.0	37795.0	2012/12/03	2013/11/01	Chromosome	Broad Institute	SAMN00727831	1.4317914914573626
1103	Condylura cristata	143302	PRJNA72447	72447	Animals	Mammals	1769.66	41.9	GCA_000260355.1		AJFV01	2040	20040.0	29166.0	2012/04/20	2013/11/01	Scaffold	Broad Institute	SAMN00727830	1.4553892215568862
1105	Oryza brachyantha	4533	PRJNA232125	232125	Plants	Land Plants	263.33	41.5494	GCA_000231095.3	chromosome 1:NC_023163.2/CM001241.3; chromosome 2:NC_023164.2/CM001242.2; chromosome 3:NC_023165.2/CM001243.3; chromosome 4:NC_023166.2/CM001244.3; chromosome 5:NC_023167.2/CM001245.3; chromosome 6:NC_023168.2/CM001246.3; chromosome 7:NC_023169.2/CM001247.3; chromosome 8:NC_023170.2/CM001248.3; chromosome 9:NC_023171.2/CM001249.3; chromosome 10:NC_023172.2/CM001250.3; chromosome 11:NC_023173.2/CM001251.3; chromosome 12:NC_023174.2/CM001252.3; chloroplast Pltd:NC_030596.1/	AGAT02	74	27042.0	30090.0	2011/10/19	2021/03/10	Chromosome	NCBI	SAMN02981362	1.112713556689594
1119	Drosophila miranda	7229	PRJNA623594	623594	Animals	Insects	287.096	45.0728	GCA_003369915.2	chromosome XL:NC_046673.1/CM010493.2; chromosome XR:NC_046674.1/CM010494.2; chromosome 2:NC_046675.1/CM010495.2; chromosome 3:NC_046676.1/CM010496.2; chromosome 4:NC_046677.1/CM010497.2; chromosome 5:NC_046678.1/CM010498.2	QNQS02	104	23864.0	32149.0	2018/08/10	2019/09/23	Chromosome	NCBI	SAMN09375764	1.3471756620851492
1122	Drosophila novamexicana	47314	PRJNA501875	501875	Animals	Insects	177.224	40.2	GCA_003285875.3		QMEP02	269	14480.0	20149.0	2018/07/02	2019/07/15	Contig	NCBI	SAMN09383009	1.3915055248618784
1124	Drosophila hydei	7224	PRJNA501875	501875	Animals	Insects	153.742	39.5	GCA_003285905.2		QMEQ02	217	14400.0	21429.0	2018/07/02	2019/05/29	Contig	NCBI	SAMN09383128	1.488125
1129	Ancylostoma ceylanicum	53326	PRJNA259754	259754	Animals	Roundworms	313.093	43.5	GCA_000688135.1		JARK01	1736	36687.0	65583.0	2014/03/25	2016/05/09	Scaffold	NCBI	SAMN02585415	1.7876359473382941
1137	Prunus dulcis	3755	PRJEB32994	572860	Plants	Land Plants	227.757	37.8545	GCA_902201215.1	chromosome 1:NC_047650.1/LR694006.1; chromosome 2:NC_047651.1/LR694007.1; chromosome 3:NC_047652.1/LR694008.1; chromosome 4:NC_047653.1/LR694009.1; chromosome 5:NC_047654.1/LR694010.1; chromosome 6:NC_047655.1/LR694011.1; chromosome 7:NC_047656.1/LR694012.1; chromosome 8:NC_047657.1/LR694013.1; plastid Pltd:NC_034696.1/	CABIKO01	692	26936.0	33326.0	2019/09/10	2020/05/14	Chromosome	Centro Nacional de Análisis Genómico	SAMEA5704668	1.2372289872289872
1143	Rhinolophus ferrumequinum	59479	PRJNA613604	613604	Animals	Mammals	2075.77	40.5755	GCA_004115265.3	chromosome 2:NC_046285.1/CM014227.1; chromosome 3:NC_046286.1/CM014228.1; chromosome 4:NC_046287.1/CM014229.1; chromosome 5:NC_046288.1/CM014230.1; chromosome 6:NC_046289.1/CM014231.1; chromosome 7:NC_046290.1/CM014232.1; chromosome 8:NC_046291.1/CM014233.1; chromosome 9:NC_046292.1/CM014234.1; chromosome 10:NC_046293.1/CM014235.1; chromosome 11:NC_046294.1/CM014236.1; chromosome 12:NC_046295.1/CM014237.1; chromosome 13:NC_046296.1/CM014238.1; chromosome 14:NC_046297.1/CM014239.1; chromosome 15:NC_046298.1/CM014240.1; chromosome 16:NC_046299.1/CM014241.1; chromosome 17:NC_046300.1/CM014242.1; chromosome 18:NC_046301.1/CM014243.1; chromosome 19:NC_046302.1/CM014244.1; chromosome 20:NC_046303.1/CM014245.1; chromosome 21:NC_046304.1/CM014246.1; chromosome 22:NC_046305.1/CM014247.1; chromosome 23:NC_046306.1/CM014248.1; chromosome 24:NC_046307.1/CM014249.1; chromosome 25:NC_046308.1/CM014250.1; chromosome 26:NC_046309.1/CM014251.1; chromosome 27:NC_046310.1/CM014252.1; chromosome 28:NC_046311.1/CM014253.1; chromosome X:NC_046284.1/CM014226.1; mitochondrion MT:CM016610.1	RXPC01	134	27139.0	48672.0	2019/01/28	2020/11/02	Chromosome	NCBI	SAMN09948510	1.7934338037510593
1150	Triticum turgidum subsp. durum	4567	PRJEB22687	518793	Plants	Land Plants	9964.34	45.9974	GCA_900231445.1	chromosome 1A:LT934111.1; chromosome 1B:LT934112.1; chromosome 2A:LT934113.1; chromosome 2B:LT934114.1; chromosome 3A:LT934115.1; chromosome 3B:LT934116.1; chromosome 4A:LT934117.1; chromosome 4B:LT934118.1; chromosome 5A:LT934119.1; chromosome 5B:LT934120.1; chromosome 6A:LT934121.1; chromosome 6B:LT934122.1; chromosome 7A:LT934123.1; chromosome 7B:LT934124.1		14	63993.0	190329.0	2019/02/11	2019/06/14	Chromosome	Institute for Biomedical Technologies at the Italian CNR Consiglio Nazionale delle Ricerche, Italy	SAMEA104312462	2.9742159298673294
1153	Asparagus officinalis	4686	PRJNA376608	376608	Plants	Land Plants	1187.54	39.3594	GCA_001876935.1	chromosome 1:NC_033794.1/CM007381.1; chromosome 2:NC_033795.1/CM007382.1; chromosome 3:NC_033796.1/CM007383.1; chromosome 4:NC_033797.1/CM007384.1; chromosome 5:NC_033798.1/CM007385.1; chromosome 6:NC_033799.1/CM007386.1; chromosome 7:NC_033800.1/CM007387.1; chromosome 8:NC_033801.1/CM007388.1; chromosome 9:NC_033802.1/CM007389.1; chromosome 10:NC_033803.1/CM007390.1	MPDI01	11792	32237.0	36763.0	2016/11/09	2017/02/06	Chromosome	NCBI	SAMN04606231	1.1403976796848343
1155	Setaria italica	4555	PRJNA32913	32913	Plants	Land Plants	405.868	46.1715	GCA_000263155.2	chromosome I:NC_028450.1/CM003528.1; chromosome II:NC_028451.1/CM003529.1; chromosome III:NC_028452.1/CM003530.1; chromosome IV:NC_028453.1/CM003531.1; chromosome V:NC_028454.1/CM003532.1; chromosome VI:NC_028455.1/CM003533.1; chromosome VII:NC_028456.1/CM003534.1; chromosome VIII:NC_028457.1/CM003535.1; chromosome IX:NC_028458.1/CM003536.1; plastid Pltd:NC_022850.1/	AGNK02	337	32124.0	35844.0	2012/05/11	2018/07/24	Chromosome	JGI	SAMN02981383	1.115801270078446
1159	Spodoptera frugiperda	7108	PRJNA849517	849517	Animals	Insects	383.923	36.4762	GCA_023101765.3	chromosome 1:NC_064212.1/CM041324.2; chromosome 2:NC_064213.1/CM041325.2; chromosome 3:NC_064214.1/CM041326.2; chromosome 4:NC_064215.1/CM041327.2; chromosome 5:NC_064216.1/CM041328.2; chromosome 6:NC_064217.1/CM041329.2; chromosome 7:NC_064218.1/CM041330.2; chromosome 8:NC_064219.1/CM041331.2; chromosome 9:NC_064220.1/CM041332.2; chromosome 10:NC_064221.1/CM041333.2; chromosome 11:NC_064222.1/CM041334.2; chromosome 12:NC_064223.1/CM041335.2; chromosome 13:NC_064224.1/CM041336.2; chromosome 14:NC_064225.1/CM041337.2; chromosome 15:NC_064226.1/CM041338.2; chromosome 16:NC_064227.1/CM041339.2; chromosome 17:NC_064228.1/CM041340.2; chromosome 18:NC_064229.1/CM041341.2; chromosome 19:NC_064230.1/CM041342.2; chromosome 20:NC_064231.1/CM041343.2; chromosome 21:NC_064232.1/CM041344.2; chromosome 22:NC_064233.1/CM041345.2; chromosome 23:NC_064234.1/CM041346.2; chromosome 24:NC_064235.1/CM041347.2; chromosome 25:NC_064236.1/CM041348.2; chromosome 26:NC_064237.1/CM041349.2; chromosome 27:NC_064238.1/CM041350.2; chromosome 28:NC_064239.1/CM041351.2; chromosome 29:NC_064240.1/CM041352.2; chromosome 30:NC_064241.1/CM041353.2; chromosome 31:NC_064242.1/CM041354.2; mitochondrion MT:NC_027836.1/	JAKUHG02	69	16908.0	29539.0	2022/04/25	2022/08/26	Chromosome	NCBI	SAMN26179013	1.7470428199668795
1162	Quercus robur	38942	PRJEB51283	811945	Plants	Land Plants	789.349	35.6822	GCA_932294415.1	chromosome 1:NC_065534.1/OW028765.1; chromosome 2:NC_065535.1/OW028766.1; chromosome 3:NC_065536.1/OW028767.1; chromosome 4:NC_065537.1/OW028768.1; chromosome 5:NC_065538.1/OW028769.1; chromosome 6:NC_065539.1/OW028773.1; chromosome 7:NC_065540.1/OW028770.1; chromosome 8:NC_065541.1/OW028771.1; chromosome 9:NC_065542.1/OW028772.1; chromosome 10:NC_065543.1/OW028774.1; chromosome 11:NC_065544.1/OW028775.1; chromosome 12:NC_065545.1/OW028776.1; mitochondrion MT:OW028777.1; chloroplast Pltd:NC_046388.1/OW028778.1	CAKOAN01	96	45167.0	53760.0	2022/03/03	2022/03/10	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA9089039	1.1902495184537383
1169	Nippostrongylus brasiliensis	27835	PRJNA994163	994163	Animals	Roundworms	257.391	43.1583	GCA_030553155.1	chromosome I:CP130732.1; chromosome II:CP130733.1; chromosome III:CP130734.1; chromosome IV:CP130735.1; chromosome V:CP130736.1; chromosome X:CP130737.1		6	16461.0	29473.0	2023/07/31	2023/07/31	Chromosome	Cornell University	SAMN36418181	1.7904744547718852
1180	Lupinus angustifolius	3871	PRJNA356456	356456	Plants	Land Plants	609.203	33.5664	GCA_001865875.1	chromosome LG01:NC_032009.1/CM007361.1; chromosome LG02:NC_032010.1/CM007362.1; chromosome LG03:NC_032011.1/CM007363.1; chromosome LG04:NC_032012.1/CM007364.1; chromosome LG05:NC_032013.1/CM007365.1; chromosome LG06:NC_032014.1/CM007366.1; chromosome LG07:NC_032015.1/CM007367.1; chromosome LG08:NC_032016.1/CM007368.1; chromosome LG09:NC_032017.1/CM007369.1; chromosome LG10:NC_032018.1/CM007370.1; chromosome LG11:NC_032019.1/CM007371.1; chromosome LG12:NC_032020.1/CM007372.1; chromosome LG13:NC_032021.1/CM007373.1; chromosome LG14:NC_032022.1/CM007374.1; chromosome LG15:NC_032023.1/CM007375.1; chromosome LG16:NC_032024.1/CM007376.1; chromosome LG17:NC_032025.1/CM007377.1; chromosome LG18:NC_032026.1/CM007378.1; chromosome LG19:NC_032027.1/CM007379.1; chromosome LG20:NC_032028.1/CM007380.1	MLAU01	14378	38688.0	52821.0	2016/11/01	2016/11/16	Chromosome	NCBI	SAMN04215042	1.3653070719602978
1181	Salix viminalis	40686	PRJNA892601	892601	Plants	Land Plants	282.582	33.9374	GCA_029228465.1	chromosome 1:CM055426.1; chromosome 2:CM055427.1; chromosome 3:CM055428.1; chromosome 4:CM055429.1; chromosome 5:CM055430.1; chromosome 6:CM055431.1; chromosome 7:CM055432.1; chromosome 8:CM055433.1; chromosome 9:CM055434.1; chromosome 10:CM055435.1; chromosome 11:CM055436.1; chromosome 12:CM055437.1; chromosome 13:CM055438.1; chromosome 14:CM055439.1; chromosome 15Z:CM055440.1; chromosome 16:CM055441.1; chromosome 17:CM055442.1; chromosome 18:CM055443.1; chromosome 19:CM055444.1	JAPFFL01	1008	60640.0	67786.0	2023/03/14	2023/03/14	Chromosome	Cornell University	SAMN31390105	1.1178430079155672
1184	Camellia sinensis	4442	PRJNA524157	524157	Plants	Land Plants	3105.37	38.7999	GCA_004153795.1	chloroplast Pltd:NC_020019.1/	SDRB01	14028	68531.0	76698.0	2019/02/11	2019/04/21	Scaffold	NCBI	SAMN06329939	1.119172345361953
1185	Vigna unguiculata	3917	PRJNA521068	521068	Plants	Land Plants	518.748	33.036	GCA_004118075.2	chromosome 1:NC_040279.1/CM014066.1; chromosome 2:NC_040280.1/CM014067.1; chromosome 3:NC_040281.1/CM014068.1; chromosome 4:NC_040282.1/CM014069.1; chromosome 5:NC_040283.1/CM014070.1; chromosome 6:NC_040284.1/CM014071.1; chromosome 7:NC_040285.1/CM014072.1; chromosome 8:NC_040286.1/CM014073.1; chromosome 9:NC_040287.1/CM014074.1; chromosome 10:NC_040288.1/CM014075.1; chromosome 11:NC_040289.1/CM014076.1; chloroplast Pltd:NC_018051.1/	NBOW01	676	34292.0	41082.0	2019/01/29	2019/02/11	Chromosome	NCBI	SAMN06674009	1.1980053656829581
1190	Vigna umbellata	87088	PRJNA819033	819033	Plants	Land Plants	414.499	34.0	GCA_018835915.1		SPEB01	15445	29839.0	36237.0	2021/06/10	2021/06/10	Scaffold	NCBI	SAMN11230903	1.2144173732363686
1194	Aquilegia coerulea	218851	PRJNA33681	33681	Plants	Land Plants	301.98	37.3	GCA_002738505.1		NXFA01	970	24823.0	41063.0	2017/10/31	2017/11/01	Scaffold	JGI	SAMN01041930	1.6542319622930346
1200	Dioscorea alata	55571	PRJNA666450	666450	Plants	Land Plants	480.026	36.4123	GCA_020875875.1	chromosome 1:CM037011.1; chromosome 2:CM037012.1; chromosome 3:CM037013.1; chromosome 4:CM037014.1; chromosome 5:CM037015.1; chromosome 6:CM037016.1; chromosome 7:CM037017.1; chromosome 8:CM037018.1; chromosome 9:CM037019.1; chromosome 10:CM037020.1; chromosome 11:CM037021.1; chromosome 12:CM037022.1; chromosome 13:CM037023.1; chromosome 14:CM037024.1; chromosome 15:CM037025.1; chromosome 16:CM037026.1; chromosome 17:CM037027.1; chromosome 18:CM037028.1; chromosome 19:CM037029.1; chromosome 20:CM037030.1	JAFBII01	25	25189.0	38603.0	2021/11/15	2021/11/16	Chromosome	University of California Berkeley	SAMN16294114	1.5325340426376592
1201	Carya illinoinensis	32201	PRJNA754407	754407	Plants	Land Plants	674.433	36.3035	GCA_018687715.1	chromosome 1:NC_056752.1/CM031809.1; chromosome 2:NC_056753.1/CM031810.1; chromosome 3:NC_056754.1/CM031811.1; chromosome 4:NC_056755.1/CM031812.1; chromosome 5:NC_056756.1/CM031813.1; chromosome 6:NC_056757.1/CM031814.1; chromosome 7:NC_056758.1/CM031815.1; chromosome 8:NC_056759.1/CM031816.1; chromosome 9:NC_056760.1/CM031817.1; chromosome 10:NC_056761.1/CM031818.1; chromosome 11:NC_056762.1/CM031819.1; chromosome 12:NC_056763.1/CM031820.1; chromosome 13:NC_056764.1/CM031821.1; chromosome 14:NC_056765.1/CM031822.1; chromosome 15:NC_056766.1/CM031823.1; chromosome 16:NC_056767.1/CM031824.1; chloroplast Pltd:NC_041449.1/	JAEDWW01	35	45429.0	54484.0	2021/06/03	2021/06/03	Chromosome	NCBI	SAMN16882287	1.1993220189746638
1207	Amphibalanus amphitrite	1232801	PRJNA751628	751628	Animals	Other Animals	807.62	49.7996	GCA_019059575.1	mitochondrion MT:NC_024525.1/	JAHNUP01	2644	31576.0	59724.0	2021/06/29	2021/06/29	Contig	NCBI	SAMN19549327	1.8914365340765138
1210	Dendroctonus ponderosae	77166	PRJNA846874	846874	Animals	Insects	223.598	36.4	GCA_020466585.2		JAFETG01	2112	15054.0	23095.0	2021/10/13	2022/05/12	Scaffold	NCBI	SAMN16793753	1.534143749169656
1213	Serinus canaria	9135	PRJNA870458	870458	Animals	Birds	1050.35	42.3624	GCA_022539315.2	chromosome 1:NC_066313.1/CM045640.1; chromosome 1A:NC_066314.1/CM045641.1; chromosome 2:NC_066315.1/CM045642.1; chromosome 3:NC_066316.1/CM045643.1; chromosome 4:NC_066317.1/CM045644.1; chromosome 4A:NC_066318.1/CM045645.1; chromosome 5:NC_066319.1/CM045646.1; chromosome 6:NC_066320.1/CM045647.1; chromosome 7:NC_066321.1/CM045648.1; chromosome 8:NC_066322.1/CM045649.1; chromosome 9:NC_066323.1/CM045650.1; chromosome 10:NC_066324.1/CM045651.1; chromosome 11:NC_066325.1/CM045652.1; chromosome 12:NC_066326.1/CM045653.1; chromosome 13:NC_066327.1/CM045654.1; chromosome 14:NC_066328.1/CM045655.1; chromosome 15:NC_066329.1/CM045656.1; chromosome 17:NC_066330.1/CM045657.1; chromosome 18:NC_066331.1/CM045658.1; chromosome 19:NC_066332.1/CM045659.1; chromosome 20:NC_066333.1/CM045660.1; chromosome 21:NC_066334.1/CM045661.1; chromosome 22:NC_066335.1/CM045662.1; chromosome 23:NC_066336.1/CM045663.1; chromosome 24:NC_066337.1/CM045664.1; chromosome 25:NC_066338.1/CM045665.1; chromosome 26:NC_066339.1/CM045666.1; chromosome 27:NC_066340.1/CM045667.1; chromosome 28:NC_066341.1/CM045668.1; chromosome W:NC_066342.1/CM045669.1; chromosome Z:NC_066343.1/CM045670.1	JAKSEN01	685	17878.0	36079.0	2022/03/10	2022/08/25	Chromosome	NCBI	SAMN25990113	2.018066897863296
1220	Cimex lectularius	79782	PRJNA298750	298750	Animals	Insects	510.849	34.7998	GCA_000648675.3	mitochondrion MT:NC_030043.1/	JHUN02	1574	14647.0	24194.0	2014/04/28	2017/12/13	Scaffold	NCBI	SAMN02649412	1.6518058305455041
1224	Cynara cardunculus var. scolymus	59895	PRJNA453787	453787	Plants	Land Plants	724.962	36.0439	GCA_001531365.2	chromosome LG 1:NC_037528.1/CM009732.1; chromosome LG 2:NC_037529.1/CM009733.1; chromosome LG 3:NC_037530.1/CM009734.1; chromosome LG 4:NC_037531.1/CM009735.1; chromosome LG 5:NC_037532.1/CM009736.1; chromosome LG 6:NC_037533.1/CM009737.1; chromosome LG 7:NC_037534.1/CM009738.1; chromosome LG 8:NC_037535.1/CM009739.1; chromosome LG 9:NC_037536.1/CM009740.1; chromosome LG 10:NC_037537.1/CM009741.1; chromosome LG 11:NC_037538.1/CM009742.1; chromosome LG 12:NC_037539.1/CM009743.1; chromosome LG 13:NC_037540.1/CM009744.1; chromosome LG 14:NC_037541.1/CM009745.1; chromosome LG 15:NC_037542.1/CM009746.1; chromosome LG 16:NC_037543.1/CM009747.1; chromosome LG 17:NC_037544.1/CM009748.1	LEKV01	13479	26577.0	34396.0	2016/01/21	2018/04/17	Chromosome	NCBI	SAMN03402638	1.2942017533957935
1227	Citrus x clementina	85681	PRJNA223006	223006	Plants	Land Plants	301.365	35.2	GCA_000493195.1		AMZM01	1398	27326.0	32586.0	2013/10/30	2014/05/05	Scaffold	International Citrus Genome Consortium	SAMN02389527	1.1924906682280612
